SERV_ID,INNET_DUR,ORG_DZS_ID,OFR_GRADE,CDE_OFR_CD,YD_CNT,TERMINAL_MODEL,BRAND_ID,MOBILE_PRICE,REL_AMT,PAY_MODE,OWE_AMOUNT,CUST_CNT,ZJ_CNT,BJ_CNT,ZJ_CNT_RATIO,ZJ_DUR,BJ_DUR,ZJ_DUR_RATIO,ZJ_PEOPLE_CNT,BJ_PEOPLE_CNT,ZJ_PEOPLE_RATIO,ZJ_AVG_CNT_RATIO,BJ_AVG_CNT_RATIO,ZJ_AVG_DUR,BJ_AVG_DUR,ZJ_CNT_DUR,BJ_CNT_DUR,ZJ_SHORT_CNT,ZJ_SHORT_CNT_RATIO,ZJ_MID_CNT,ZJ_MID_CNT_RATIO,ZJ_ROAM_CNT,ZJ_ROAM_CNT_RATIO,ZJ_LONG_CNT,ZJ_LONG_CNT_RATIO,ZJ_LONG_ROAM_RATIO,ZJ_ROAM_DUR,ZJ_ROAM_DUR_RATIO,ZJ_LONG_DUR,ZJ_LONG_DUR_RATIO,ZJ_LONG_ROAM_DUR_RATIO,ZJ_ROAM_AREA_CNT,ROAM_TOP_RATIO,SMS_CNT,DAY_CNT,FLOW_CNT,FLOW_MB,BASE_CNT,ZJ_BASE_TOP_RATIO,POINT_CNT
9984,129,,0,1205,1.0,4,1,1299.0,51.62,2,0.0,1,132,192,0.4074,153.45,232.43,0.3977,38.0,56.0,0.4043,3.47,3.43,4.04,4.15,1.16,1.21,23.0,0.1742,61.0,0.4621,0,0.0,12,0.0909,0.0909,0.0,0.0,15.78,0.1029,0.1029,3,0.0,2,2.0,3,1.61,17,0.3712,1
1151,4,477.0,79,1671,2.0,58,0,,79.1,2,0.0,2,20,8,0.7143,67.67,11.5,0.8547,5.0,3.0,0.625,4.0,2.67,13.53,3.83,3.38,1.44,3.0,0.15,7.0,0.35,20,1.0,19,0.95,1.95,67.67,1.0,42.65,0.6303,1.6303,2,0.85,1,31.0,1180,1370.23,5,0.6,0
9622,11,250.0,169,2072,3.0,30,2,2599.0,1.4,2,0.0,3,83,26,0.7615,53.02,18.92,0.737,9.0,7.0,0.5625,9.22,3.71,5.89,2.7,0.64,0.73,21.0,0.253,47.0,0.5663,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,31.0,925,615.18,11,0.7229,0
14130,4,4934.0,99,2269,3.0,50,14,699.0,99.0,2,0.0,3,15,8,0.6522,53.13,5.53,0.9057,11.0,5.0,0.6875,1.36,1.6,4.83,1.11,3.54,0.69,1.0,0.0667,8.0,0.5333,0,0.0,3,0.2,0.2,0.0,0.0,38.58,0.7262,0.7262,2,0.0,0,,0,0.0,4,0.8,0
19162,10,2299.0,99,2269,2.0,254,2,1999.0,104.0,2,0.0,2,90,74,0.5488,84.02,94.38,0.4709,8.0,13.0,0.381,11.25,5.69,10.5,7.26,0.93,1.28,15.0,0.1667,53.0,0.5889,3,0.0333,6,0.0667,0.1,1.82,0.0216,12.98,0.1545,0.1761,2,1.0,0,21.0,81,44.96,13,0.3111,0
19625,25,503.0,129,200,3.0,46,2,1298.0,0.98,2,0.0,3,3,0,1.0,10.18,0.0,1.0,3.0,0.0,1.0,1.0,0.0,3.39,0.0,3.39,0.0,1.0,0.3333,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,6.0,14,16.68,1,1.0,1
16283,70,1264.0,99,2269,1.0,6,1,2799.0,99.0,2,0.0,1,136,144,0.4857,302.8,352.85,0.4618,33.0,36.0,0.4783,4.12,4.0,9.18,9.8,2.23,2.45,14.0,0.1029,58.0,0.4265,0,0.0,18,0.1324,0.1324,0.0,0.0,61.35,0.2026,0.2026,4,0.0,0,31.0,1163,1649.81,16,0.5809,2
37,6,3129.0,169,2005,1.0,11,4,6088.0,169.0,2,0.0,191,285,41,0.8742,412.38,38.17,0.9153,211.0,24.0,0.8979,1.35,1.71,1.95,1.59,1.45,0.93,52.0,0.1825,127.0,0.4456,285,1.0,283,0.993,1.993,412.38,1.0,411.8,0.9986,1.9986,107,0.0491,14,26.0,0,0.0,1,,0
6104,62,963.0,169,988,3.0,94,2,99999.0,169.2,2,0.0,3,211,162,0.5657,166.62,218.77,0.4323,64.0,67.0,0.4885,3.3,2.42,2.6,3.27,0.79,1.35,39.0,0.1848,125.0,0.5924,0,0.0,1,0.0047,0.0047,0.0,0.0,2.03,0.0122,0.0122,1,0.0,2,29.0,420,539.86,21,0.4313,0
14274,69,10384.0,169,2072,2.0,183,6,1499.0,169.8,2,0.0,2,163,159,0.5062,185.53,179.65,0.5081,50.0,62.0,0.4464,3.26,2.56,3.71,2.9,1.14,1.13,37.0,0.227,78.0,0.4785,0,0.0,7,0.0429,0.0429,0.0,0.0,17.57,0.0947,0.0947,3,0.0,8,31.0,373,711.36,20,0.5521,0
