SERV_ID,SCORE_1300,SCORE_1301,SCORE_1005,SCORE_1202,SCORE_1200,SCORE_1419,SCORE_1000,SCORE_1101,SCORE_1006,SCORE_1100,SCORE_1105,SCORE_1411,SCORE_1303,SCORE_1011,SCORE_1014,SCORE_1103,SCORE_1201,SCORE_1102,SCORE_1302,SCORE_1012,SCORE_1004,SCORE_1418,SCORE_1002,SCORE_1010,SCORE_1007,SCORE_1407,SCORE_1003,SCORE_1009,SCORE_1400,SCORE_1408
227986,78.69,93.54,91.8,99.43,99.91,78.59,77.17,84.14,67.29,96.02,99.93,97.37,98.92,3.61,10.07,30.91,29.2,,0.33,,,,,0.15,,,12.58,,,
46037,89.78,99.98,99.99,93.64,95.62,92.67,26.59,36.86,83.55,81.35,26.86,98.05,99.2,35.58,,46.74,99.99,18.12,,,19.19,,,,,,,,,
14855,17.4,42.5,38.44,60.29,0.0,0.0,,20.73,0.93,52.06,,1.34,50.54,11.63,,2.61,,,,,,,,,,,,,,
92157,12.34,8.82,33.3,58.48,14.95,74.24,22.95,28.66,11.94,30.7,,38.95,44.87,,,,19.01,,,,14.55,,,,,51.84,,,,
93629,28.71,59.83,46.78,78.05,71.16,57.96,39.62,22.17,84.4,48.61,70.23,37.18,10.33,4.08,18.4,29.91,28.12,1.62,,,,2.81,,,,,,,,
27491,2.17,0.88,3.63,2.97,4.8,4.88,0.47,1.57,4.15,1.76,0.47,0.53,0.0,1.17,,17.95,,,,,,,,,,,,,,
15179,61.36,78.49,37.37,70.31,42.8,66.09,54.94,6.59,51.64,7.71,1.61,44.62,20.22,22.14,0.58,6.09,13.37,0.17,0.22,0.0,,,,,,,,,,
88013,50.8,83.02,65.42,48.43,11.69,56.49,0.0,69.17,14.04,3.7,0.68,,1.31,7.06,0.0,0.15,,0.0,,,,,,,,,,,,
65332,31.91,12.31,68.72,45.01,57.59,86.41,3.98,3.65,35.82,1.22,25.55,27.53,4.79,26.82,,1.72,3.86,,,,,,,,,,,,,
26326,18.12,44.53,68.22,33.28,13.17,34.04,14.31,3.49,2.99,35.25,16.7,52.74,18.13,8.13,,19.03,,,0.35,,,,,,,,,,,
68166,29.47,54.05,56.16,39.87,64.35,58.31,0.0,54.35,12.71,22.5,0.2,0.3,64.12,2.69,,11.81,,0.0,,,,,,,,,,,,
120750,82.03,83.56,95.68,92.72,93.36,78.63,58.5,88.93,82.51,75.3,61.78,64.67,68.43,52.78,52.81,45.41,12.71,89.22,,0.0,16.87,,1.69,,,3.89,,,,
94262,59.72,20.24,39.82,31.47,59.56,34.46,55.39,47.93,87.79,28.32,63.83,62.79,2.0,0.7,,7.91,2.38,4.11,,,,,,,,,,,,
28077,42.06,35.56,79.94,46.57,52.5,61.97,23.37,46.17,52.88,23.68,60.48,20.58,15.46,35.66,12.33,48.95,5.83,1.57,,,2.51,,,,,,,,,
76840,33.12,72.75,54.88,89.29,44.81,73.47,7.12,27.37,13.24,36.25,0.0,52.62,9.26,12.87,,4.88,,0.0,,,,,,,,,,,,
9313,51.14,99.99,66.51,46.59,36.97,71.05,79.09,39.85,47.27,29.44,6.46,25.47,6.83,5.93,6.08,51.3,3.74,0.97,0.0,,,,,,,,,,,
58492,3.12,32.76,17.52,76.21,47.48,53.39,2.05,58.27,27.0,31.06,28.6,37.99,10.6,6.6,,5.93,,,,,2.84,,,,,,,,,
207221,41.64,14.63,29.96,33.59,20.98,4.5,13.22,48.19,6.93,40.89,4.1,45.6,8.16,,3.74,26.82,,1.38,,,,,,,,8.58,,,,
37615,21.34,12.3,27.43,17.05,38.03,27.47,23.37,11.3,53.58,41.45,42.42,8.85,1.16,15.28,14.17,0.59,49.16,,,,,,,,,,,,,
23429,58.02,32.54,36.36,48.35,36.25,6.03,83.07,58.92,30.45,40.13,3.65,3.65,0.49,1.34,84.4,15.49,7.03,83.29,,,,,,,,,,,,
26350,18.59,36.64,48.94,55.5,39.25,64.98,36.08,26.35,12.69,44.31,2.69,52.76,93.71,,,13.2,,,,,0.0,,0.17,,,35.98,,,,
237887,16.77,18.73,43.5,52.12,16.42,55.78,27.73,3.76,8.11,3.27,0.0,39.83,20.83,,,3.57,,,,16.18,0.0,,,,,75.42,,,,
54939,73.84,96.17,85.92,53.97,51.08,61.38,1.3,42.88,10.95,58.25,3.55,87.52,0.74,58.55,,24.29,,,1.49,,8.78,8.13,,,82.64,,,,,
143293,88.89,31.84,87.16,96.53,95.13,92.88,99.99,44.41,96.08,66.15,24.85,17.81,4.62,99.99,15.39,36.45,1.52,,0.16,,,,,,,,4.07,,,
56399,86.34,94.44,89.85,98.71,85.67,73.23,21.46,96.4,80.41,88.54,85.22,99.87,88.43,69.6,1.98,51.0,1.35,0.22,12.07,0.7,36.44,,0.0,,,,,,,
35052,83.42,87.09,79.03,81.83,59.15,59.37,32.37,34.04,65.19,60.55,9.21,32.56,9.9,6.71,,5.75,42.56,20.99,24.96,1.44,0.7,9.41,42.86,,,,,,,
36933,6.27,28.49,8.26,9.29,53.32,89.13,0.0,22.81,2.56,0.0,0.0,16.19,7.96,,,,,,,1.52,21.66,,,,,10.27,,,,
17411,23.52,44.46,37.55,42.43,41.82,51.55,8.47,17.73,72.35,29.94,6.26,8.59,10.22,,1.17,6.79,0.22,27.33,1.95,,,,,0.33,,,0.17,,,
169689,64.83,85.77,38.63,73.9,34.89,32.37,32.31,45.97,20.91,84.33,23.37,35.82,21.79,4.78,52.59,3.35,28.98,0.2,,,,,,,,,9.86,,,
75485,89.33,98.96,91.66,94.84,99.76,95.48,84.04,54.49,86.88,95.87,99.97,99.75,76.74,1.62,52.23,0.17,2.94,85.76,,98.23,31.22,,,,,,,,,
41010,96.95,99.41,100.0,92.12,90.91,96.77,77.81,97.58,99.13,79.35,99.74,99.72,2.72,99.99,60.67,70.18,56.36,0.0,16.23,,13.83,86.31,,,6.07,,,,,
298448,18.8,71.51,8.74,54.22,16.77,51.08,14.55,7.81,34.0,40.8,20.94,18.04,,,,,,,,,,,,,,0.15,,,,
39684,81.71,59.8,97.21,72.82,90.42,83.44,29.5,83.29,36.51,80.82,93.32,52.79,36.19,63.13,17.23,17.6,23.69,10.03,0.0,7.89,,,,,,,,,,
28586,88.21,90.7,87.05,76.85,87.19,49.52,71.27,32.44,75.97,81.13,23.15,26.92,7.7,8.71,50.33,0.45,22.13,,3.39,38.45,2.3,,0.0,,,,,9.87,,
6473,59.98,16.01,99.31,59.95,75.4,72.89,66.63,3.39,50.29,26.58,1.81,85.68,,74.57,0.44,29.75,,7.07,,,72.08,,,,,,,,,
56109,26.29,20.68,4.31,29.25,10.98,28.1,,5.69,12.31,22.72,,21.08,2.08,6.55,,3.62,,,,,,,,0.3,,,,,,
62866,56.32,91.15,63.57,56.51,25.64,50.16,21.1,7.91,31.91,18.26,9.04,3.52,34.55,35.27,,12.94,6.9,1.38,,,,,,,,,,,,
29951,98.92,68.44,84.63,86.4,81.06,86.25,56.55,38.34,36.91,99.96,29.31,87.18,43.03,4.2,84.31,11.11,99.99,1.11,,,1.46,2.56,,1.68,,,0.23,0.71,,
67014,30.54,72.15,87.06,75.74,86.78,76.38,39.29,73.37,55.29,72.84,87.92,74.42,28.21,0.65,21.15,24.15,43.88,0.0,0.76,8.16,,,0.0,,,,,,,
10021,58.18,30.69,95.26,67.21,90.87,94.78,61.15,26.04,97.57,29.83,80.99,17.78,5.76,1.57,0.47,3.03,11.48,9.88,9.99,,,,,,,,,,,
39762,40.76,79.62,76.22,81.11,30.86,27.75,61.28,38.26,43.4,60.77,14.24,13.35,55.4,1.38,11.04,3.91,0.67,20.21,,,,,,,,,,,,
48323,73.32,99.12,96.72,95.15,67.85,74.82,39.32,57.57,50.41,90.38,33.25,99.15,80.23,4.49,24.46,12.01,85.35,1.17,6.57,0.3,2.73,,,,,,,,,
59896,50.66,71.52,46.21,82.25,48.68,54.7,51.26,24.29,43.27,65.9,5.51,70.5,31.0,0.7,16.75,1.94,99.97,1.68,4.1,22.28,3.91,,,,,,,,,
106308,90.45,84.57,59.99,78.5,62.4,77.84,44.23,75.85,12.64,89.93,32.22,70.56,99.64,8.52,0.17,11.3,0.15,0.38,27.33,,,,,,,8.61,,,,
236255,62.18,63.96,43.96,73.33,43.51,85.49,14.56,65.24,44.33,79.35,36.12,6.94,48.95,4.59,22.4,7.18,40.99,5.24,,,,,,,,,5.04,,,
75712,58.03,27.64,16.27,73.92,14.54,14.79,1.37,71.73,30.85,53.82,4.1,7.56,37.4,25.08,0.2,14.18,18.95,12.66,,,,,,,,,,,,
62874,26.5,16.45,20.87,38.2,28.6,19.46,1.35,1.02,3.37,26.7,0.0,43.25,25.15,6.31,,0.56,0.75,,,0.75,,,,,,,,,,
84949,64.93,48.71,96.74,49.01,53.26,62.09,77.25,70.02,35.47,53.12,51.19,57.3,70.63,1.87,8.85,4.79,0.0,11.58,6.09,0.4,0.74,,,,,,,,,
63484,45.62,0.2,35.57,8.0,18.48,30.74,3.23,47.47,7.4,5.04,51.0,,0.15,8.46,23.67,8.71,,,,,,,,,,,,,,
761,86.58,55.29,49.16,52.08,58.61,93.4,0.0,9.89,17.74,13.09,39.5,76.45,8.2,1.19,20.3,0.58,4.65,99.91,,,,,,,,,,,,
21686,9.22,21.14,24.26,55.95,31.19,74.81,4.29,27.92,4.74,3.42,0.59,17.94,7.73,0.89,,4.97,,,,,8.74,,,,,,,,,
