SERV_ID,SCORE_1300,SCORE_1301,SCORE_1005,SCORE_1202,SCORE_1200,SCORE_1419,SCORE_1000,SCORE_1101,SCORE_1006,SCORE_1100,SCORE_1105,SCORE_1411,SCORE_1303,SCORE_1011,SCORE_1014,SCORE_1103,SCORE_1201,SCORE_1102,SCORE_1302,SCORE_1012,SCORE_1004,SCORE_1418,SCORE_1002,SCORE_1010,SCORE_1007,SCORE_1407,SCORE_1003,SCORE_1009,SCORE_1400,SCORE_1408,FLAG
46764,91.47,84.16,99.9,97.89,87.73,96.73,7.65,15.51,86.66,49.41,28.22,97.89,8.84,1.49,,44.34,6.44,35.48,2.19,,1.45,,,,30.88,,,,,,0
57398,55.87,62.66,75.75,84.02,55.11,24.48,79.5,99.99,85.01,44.47,3.79,50.29,19.99,81.19,0.0,42.86,0.0,,,,,,,,,,,,,,1
69367,77.28,14.46,17.01,40.24,39.07,67.3,33.13,26.03,16.09,59.87,3.72,43.62,0.52,27.03,,0.16,,,,,,,,,,,,,,,1
23537,42.47,31.37,78.5,46.04,35.59,87.87,0.41,54.91,71.62,21.66,0.0,0.0,0.0,39.51,0.2,0.59,,,,,,,,,,,,,,,1
32680,75.3,49.71,67.71,63.19,19.5,18.52,98.33,5.59,54.47,37.97,0.84,22.17,58.95,1.91,7.07,17.45,22.49,,,3.33,,,,,,,,,,,0
86329,36.56,35.08,47.45,76.4,57.31,51.42,9.83,47.76,39.52,55.26,13.98,60.54,7.93,28.74,1.14,3.57,8.4,,1.95,,,,28.26,,2.51,,,,,,1
14596,83.86,40.62,65.24,11.28,18.65,95.95,20.74,28.1,58.03,66.85,0.0,43.22,7.92,19.55,,0.45,,,,,,,,,,,,,,,0
44608,74.69,60.56,90.3,96.41,91.92,76.33,20.52,12.08,67.81,71.7,89.52,2.05,0.84,0.23,0.0,1.18,,,,,,,2.74,,,,,,,,0
86512,35.19,27.37,39.43,26.99,55.65,58.19,5.01,8.01,30.09,5.0,63.74,,,0.0,,5.73,,,,0.3,,,,,,,,,,,1
58747,8.02,11.89,18.1,13.88,24.32,14.86,13.61,2.39,2.39,3.14,21.78,38.78,5.96,7.58,4.83,4.59,43.6,,,,,,92.0,,,,,,,,0
17989,42.34,25.37,41.2,55.14,63.66,77.65,30.22,62.73,30.14,13.11,10.49,75.96,13.7,6.72,69.01,3.21,0.75,1.84,,,,,,,,,,,,,0
49696,84.03,46.99,61.73,36.77,32.37,60.35,99.59,20.61,1.82,78.27,0.59,75.33,3.19,41.31,11.91,5.22,97.95,,0.15,,0.35,30.77,,,,,,,,,1
136341,30.94,58.97,89.53,97.61,69.82,97.83,99.89,46.43,45.68,16.81,1.81,94.05,85.32,0.97,0.79,68.09,3.22,1.64,,,,,,,0.17,5.2,9.02,,,,0
164566,0.0,0.0,1.23,0.2,1.5,0.68,,0.0,,0.0,2.57,7.35,,,,,,,,,,,,,,9.81,,,,,0
241461,53.46,91.07,95.47,91.48,63.68,32.34,69.39,77.9,99.51,87.55,50.95,22.2,99.41,2.09,69.58,47.56,59.32,0.2,,,,,0.0,,,,1.41,,,,1
84486,33.01,74.29,79.14,62.87,63.85,67.44,86.53,39.71,7.67,19.07,29.0,94.96,10.32,7.56,67.51,12.36,9.14,,0.77,,,,,,,,,,,,1
85556,47.28,28.33,60.35,49.25,80.49,47.09,48.01,76.47,63.63,33.49,7.64,24.44,75.66,1.38,8.86,44.37,9.82,,,0.75,0.15,,,,,,,,,,0
47243,92.42,72.25,99.39,99.61,96.95,84.8,79.4,98.66,99.43,99.88,9.37,19.16,82.5,24.96,10.16,17.84,97.99,,,,7.46,,,0.99,,,,,,,1
27535,83.69,84.45,96.89,98.5,85.99,59.4,86.06,54.65,50.17,99.11,27.99,79.63,97.2,37.08,98.04,37.75,99.96,75.13,36.92,0.4,55.98,,,,,,,,,,1
125681,94.78,54.97,45.32,98.34,42.55,98.4,38.97,53.64,34.05,99.54,5.55,94.69,98.83,,0.15,,,,0.15,12.83,51.82,28.12,,,,7.19,,,,,0
104076,51.16,8.67,28.6,29.31,21.0,63.5,21.69,1.02,10.61,0.6,0.0,,,0.15,,,1.18,,,,,,,,,7.09,,,,,0
222756,41.51,78.09,39.01,80.07,78.17,40.16,29.84,12.51,58.64,94.08,60.45,42.93,43.3,34.56,40.09,3.57,20.27,,0.0,,,,,,,,14.18,,,,1
16071,3.89,0.41,6.74,0.37,0.82,0.96,16.3,,0.18,,1.22,0.6,0.2,0.0,,1.19,,,,,,,,,,,,,,,0
35271,42.44,65.55,30.79,23.49,27.93,59.22,19.78,26.53,36.09,2.87,0.0,,12.9,90.72,2.43,0.17,9.27,,,,,1.58,,,,,,,,,1
326595,42.6,3.71,1.42,4.97,10.76,11.21,,2.38,1.61,6.65,5.28,16.44,,,6.07,,,,,,,,,,,2.4,,,,,0
27714,23.48,89.8,69.56,62.89,39.92,60.62,35.83,54.65,87.9,44.19,22.75,41.19,14.63,85.91,23.52,21.19,0.17,13.84,,,,,,,,,16.93,,,,1
69217,74.7,63.86,67.32,70.77,73.79,53.68,58.45,46.92,83.85,52.87,42.48,25.83,16.48,40.98,22.4,62.82,19.53,19.75,2.08,0.0,,,2.68,,,,35.93,,,,1
60717,2.83,2.24,3.03,9.82,2.45,11.99,0.19,0.17,2.76,14.85,0.0,0.19,0.19,0.75,,0.15,,0.3,,,,,,,,,,,,,1
23500,94.7,99.95,95.15,89.0,71.65,68.99,22.26,77.39,70.29,85.16,88.53,80.62,17.46,0.7,35.59,44.27,29.17,0.59,26.15,4.42,,,0.0,,,,,,,,1
57938,76.8,16.01,57.55,60.73,38.31,73.09,76.89,19.91,53.31,71.15,31.89,90.95,54.34,41.49,99.41,15.88,0.0,,,,,,,,,0.0,,,,,0
86992,89.43,89.54,6.43,21.65,1.77,0.0,0.3,14.78,5.67,6.07,0.15,66.33,1.16,23.99,,7.66,0.62,0.0,,,,,,,,,,,,,0
78490,18.68,5.92,43.53,13.33,13.39,45.54,2.66,1.72,23.43,4.49,0.45,37.4,3.39,5.88,,3.14,,,,,,,,,,,,,,,0
46771,27.14,20.51,45.01,38.76,61.6,42.31,99.66,30.35,8.85,48.96,42.35,0.41,0.0,0.65,,16.1,0.15,24.01,,,,,,,,,,,,,1
26284,60.22,77.82,80.74,54.94,66.86,89.87,77.35,32.72,98.71,69.43,89.87,68.78,62.55,43.5,53.86,34.72,,,,,10.06,,,,0.17,12.27,,,,,1
12598,99.39,99.92,99.92,88.87,99.41,90.43,58.57,49.43,54.63,61.92,99.18,99.97,58.39,16.82,21.26,57.26,91.4,15.83,,35.96,9.91,13.82,,,,,12.5,,,,1
39118,48.46,28.67,17.02,49.68,48.9,52.94,19.46,6.86,23.62,12.83,5.77,46.26,3.53,0.87,,0.56,3.2,,,0.15,0.17,,,,,,,,,,0
48855,68.34,76.53,82.5,99.06,87.77,99.67,64.67,73.36,75.99,90.85,58.62,93.0,79.96,40.7,7.05,18.74,57.32,40.03,,71.73,,65.28,3.38,,,22.11,,,,,0
23040,40.85,61.91,31.72,64.98,28.05,33.72,41.92,12.04,45.01,85.27,68.59,25.25,66.5,0.0,2.52,12.08,81.86,31.03,,1.03,,,,,,,0.0,,,,1
87549,89.97,86.47,89.89,90.55,82.42,98.41,53.76,64.16,93.28,25.33,16.91,0.0,,20.55,,4.27,66.94,0.74,,,0.53,,,,,,,,,,1
83009,42.99,6.27,14.07,20.11,20.37,69.51,18.63,14.06,20.64,12.22,17.05,15.92,7.38,20.63,63.22,0.45,,,,,11.8,,,,,,,,,,1
48791,39.92,24.46,69.22,11.69,37.93,68.39,99.84,12.45,13.64,16.53,,10.65,0.17,43.53,,9.24,,,,3.94,0.3,,,,,,,,,,0
218032,68.69,89.13,18.8,97.37,29.05,58.93,51.38,81.3,32.13,66.38,56.38,71.49,81.79,,90.39,2.66,65.98,5.8,0.0,,,,,,,18.79,,18.2,,,0
88493,71.8,37.45,89.46,92.9,86.02,81.4,9.82,16.07,86.58,59.33,15.57,24.51,3.56,78.65,22.44,48.57,21.3,,0.16,0.17,9.36,,4.35,,,,,,,,1
45196,75.71,80.34,99.99,86.14,48.76,74.29,93.34,99.16,92.11,71.26,17.22,98.26,24.6,76.85,0.65,55.78,71.8,,,,,,,,70.62,,,,,,1
267707,89.68,81.34,88.35,96.75,96.62,79.06,38.29,92.6,62.73,97.22,97.99,54.93,77.83,49.85,97.97,25.47,97.99,9.72,36.16,0.87,8.67,,,,,,1.79,,,,1
31782,43.18,69.13,99.99,97.46,97.59,99.3,20.07,13.76,89.54,26.17,27.6,20.07,7.76,0.23,,25.03,4.55,1.06,19.76,,,,,,,,,,,,1
