SERV_ID,PROD_INST_STATE,GENDER,AGE,IN_NET_DUR,STAR_LEVEL,SCORE_POINT,RECV_RATE,CONSOLIDATE_SPEND,RM_MODE_CD,MOBILE_USER_NUMBER,IPTV_USER_NUMBER,BRD_CHARGE_11,BRD_CHARGE_10,BRD_CHARGE_09,OFFER_NAME_LEV1,ZHU_OFFER_VALUE,IS_HY,BRD_MBL_FLUX_11,BRD_MBL_FLUX_10,BRD_MBL_FLUX_09,BRD_CNT_11,BRD_CNT_10,BRD_CNT_09,ACTIVE_DAY_11,ACTIVE_DAY_10,ACTIVE_DAY_09,FLAG
130396,2HA,,,8,,0,50,50,FTTH接入,0,0,160.0,160.0,160.0,宽带,160.0,1,33805.43,22605.74,44759.32,16,21,27,11,18,21,0
86888,2HA,1.0,52.0,12,6.0,9116,8,8,普通接入,0,0,77.0,80.0,80.0,宽带,80.0,1,19.53,16.4,15.68,17,18,16,16,18,16,0
19515,2HA,1.0,32.0,111,1.0,2345,6,50,FTTH接入,0,0,82.5,82.5,82.5,宽带,90.0,1,4722.09,4570.68,3358.03,23,34,50,21,22,26,0
17241,2HA,1.0,55.0,117,1.0,2471,100,100,FTTH接入,0,0,279.0,80.0,80.0,宽带,80.0,1,11920.18,16086.0,20347.56,28,30,31,18,21,20,0
123640,2HA,,,13,,948,100,100,FTTH接入,0,0,150.0,150.0,150.0,宽带,150.0,1,154813.58,212271.19,182317.97,46,59,58,20,28,26,0
136192,2HA,1.0,27.0,5,,0,20,20,FTTH接入,0,0,90.0,90.0,90.0,宽带,90.0,1,61425.14,54514.21,51216.37,19,16,15,17,15,13,0
23280,2HA,2.0,34.0,73,3.0,4189,100,100,FTTH接入,1,0,279.0,80.0,80.0,宽带,80.0,1,51704.65,60220.33,50918.91,18,19,15,16,17,14,0
41111,2HA,1.0,29.0,35,2.0,2701,20,20,FTTH接入,0,0,80.0,130.0,80.0,宽带,80.0,1,106180.09,65455.52,83431.69,138,96,151,28,24,26,0
42858,2HA,2.0,30.0,33,2.0,3847,4,4,普通接入,0,0,90.0,90.0,90.0,宽带,90.0,0,88.88,124.13,83603.25,42,67,78,30,31,30,0
35284,2HA,1.0,61.0,43,1.0,3130,20,20,FTTH接入,0,0,130.0,80.0,80.0,宽带,80.0,1,10.18,20.15,13.12,17,15,19,8,13,17,0
33968,2HA,1.0,27.0,44,2.0,2655,4,50,FTTH接入,0,0,90.0,90.0,90.0,宽带,90.0,0,187.81,130.52,146.07,40,23,54,19,18,21,0
35432,2HA,2.0,38.0,43,1.0,2964,8,20,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,39190.89,45393.53,29962.45,258,220,146,29,31,28,0
136302,2HA,1.0,48.0,5,,16,50,50,FTTH接入,0,1,0.0,0.0,0.0,宽带,0.0,0,30033.42,46304.31,53413.91,18,43,28,10,14,14,0
98215,2HA,1.0,29.0,63,1.0,2408,8,20,FTTH接入,0,0,82.5,82.5,82.5,宽带,90.0,1,69241.25,57097.12,59218.41,72,44,41,24,18,20,0
34154,2HA,2.0,48.0,44,1.0,1746,20,20,FTTH接入,0,0,60.0,60.0,60.0,宽带,60.0,1,36297.84,41318.89,35934.88,14,17,17,14,16,16,0
96327,2HA,2.0,46.0,3,,0,50,50,FTTH接入,0,0,110.0,110.0,110.0,宽带,110.0,1,137137.17,104820.4,113982.18,32,28,39,30,27,28,0
117369,2HA,2.0,47.0,16,1.0,1752,100,100,FTTH接入,0,0,279.0,80.0,80.0,宽带,80.0,1,42859.44,42738.05,37542.42,166,48,55,31,29,30,0
108619,2HA,2.0,42.0,19,1.0,1826,8,50,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,19930.56,29487.72,67011.46,140,96,55,30,28,23,0
107568,2HA,1.0,61.0,20,1.0,2007,8,100,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,16158.46,12742.27,16215.47,30,85,165,19,22,29,0
106743,2HA,2.0,35.0,20,1.0,1220,20,20,FTTH接入,0,0,50.0,100.0,50.0,宽带,50.0,1,71310.65,64491.6,66867.42,107,66,72,27,29,27,0
108818,2HA,1.0,22.0,19,4.0,8992,50,200,FTTH接入,0,0,160.0,160.0,160.0,宽带,160.0,1,66902.43,59696.55,61459.36,18,15,15,17,15,15,0
101469,2HA,1.0,43.0,22,4.0,2705,20,20,FTTH接入,0,0,55.0,104.5,55.0,宽带,60.0,1,47719.05,26635.19,37345.66,19,10,16,13,9,9,0
104392,2HA,2.0,31.0,21,1.0,2093,100,100,FTTH接入,0,0,109.0,78.5,78.5,宽带,80.0,1,87190.86,88268.43,86101.68,82,136,126,27,29,27,0
87237,2HA,1.0,34.0,12,5.0,13115,50,50,FTTH接入,0,0,90.0,90.0,90.0,宽带,90.0,1,59748.76,48296.91,51906.3,16,17,17,16,16,14,0
90459,2HA,1.0,28.0,8,4.0,125,20,20,FTTH接入,0,0,90.0,90.0,90.0,宽带,90.0,1,45741.47,34511.5,39487.09,37,40,40,25,18,22,0
94720,2HA,1.0,53.0,3,,0,50,50,FTTH接入,0,1,60.0,60.0,60.0,宽带,130.0,1,11432.66,10959.16,9758.29,49,20,21,22,16,17,0
16667,2HA,,,119,,2607,100,100,FTTH接入,0,1,110.0,110.0,106.0,宽带,80.0,1,76896.62,45710.18,58834.65,21,19,23,21,18,21,0
95125,2HA,1.0,46.0,3,,0,20,20,FTTH接入,0,1,60.0,60.0,60.0,宽带,130.0,1,146.77,276.93,379.84,132,135,204,31,32,30,0
40557,2HA,1.0,43.0,36,1.0,2232,20,20,FTTH接入,0,1,132.5,82.5,82.5,宽带,90.0,1,17701.91,18478.1,12337.88,164,106,202,28,25,30,0
34048,2HA,1.0,30.0,44,4.0,13461,20,20,FTTH接入,0,0,88.5,90.0,87.0,宽带,90.0,1,129865.83,110291.18,120836.22,91,88,101,30,28,30,0
38339,2HA,1.0,74.0,39,1.0,3541,50,50,FTTH接入,0,0,110.0,110.0,90.67,宽带,90.0,1,53754.35,70702.6,66542.01,119,70,126,27,22,24,0
44181,2HA,2.0,45.0,31,1.0,2254,8,20,FTTH接入,0,0,82.5,82.5,82.5,宽带,90.0,1,16836.71,31074.65,44364.62,125,170,156,30,26,28,0
77676,2HA,1.0,34.0,17,1.0,1972,100,100,FTTH接入,0,0,279.0,80.0,80.0,宽带,80.0,1,33691.31,34384.56,32203.04,284,366,191,31,31,25,0
