SERV_ID,PROD_INST_STATE,GENDER,AGE,IN_NET_DUR,STAR_LEVEL,SCORE_POINT,RECV_RATE,CONSOLIDATE_SPEND,RM_MODE_CD,MOBILE_USER_NUMBER,IPTV_USER_NUMBER,BRD_CHARGE_11,BRD_CHARGE_10,BRD_CHARGE_09,OFFER_NAME_LEV1,ZHU_OFFER_VALUE,IS_HY,BRD_MBL_FLUX_11,BRD_MBL_FLUX_10,BRD_MBL_FLUX_09,BRD_CNT_11,BRD_CNT_10,BRD_CNT_09,ACTIVE_DAY_11,ACTIVE_DAY_10,ACTIVE_DAY_09
96677,2HA,1.0,35.0,72,2.0,3134,8,8,普通接入,0,0,83.33,83.33,83.33,宽带,108.0,1,30982.42,20489.34,30892.32,17,17,18,15,16,16
11621,2HA,1.0,35.0,77,1.0,1878,8,100,FTTH接入,0,0,85.0,88.0,61.0,宽带,108.0,1,67041.75,56852.0,46014.74,16,16,15,16,16,14
19728,2HA,1.0,52.0,111,2.0,4420,8,100,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,16049.1,21798.21,22950.97,164,68,76,31,30,30
49061,2HA,1.0,39.0,26,7.0,0,4,4,FTTH接入,0,0,60.0,60.0,55.0,宽带,60.0,0,32073.21,5672.76,15063.49,185,118,59,27,22,8
68582,2HA,2.0,32.0,20,5.0,15962,8,8,普通接入,0,0,80.0,80.0,80.0,宽带,80.0,1,102342.25,99952.45,76875.56,33,32,31,29,30,26
11721,2HA,1.0,80.0,77,3.0,5124,100,100,FTTH接入,0,0,279.0,80.0,100.0,宽带,108.0,1,12054.54,11428.06,10473.99,183,152,135,26,28,24
5320,2HA,1.0,55.0,89,1.0,2378,100,100,FTTH接入,0,0,106.0,80.0,80.0,宽带,90.0,0,54023.74,71409.83,50998.56,38,38,25,22,21,19
6217,2HA,2.0,30.0,87,2.0,2618,100,100,FTTH接入,0,1,80.0,80.0,80.0,宽带,80.0,1,91379.28,40222.26,63181.52,181,156,87,27,27,21
9284,2HA,1.0,30.0,81,1.0,2240,100,100,FTTH接入,0,0,99.5,82.5,82.5,宽带,90.0,1,50630.58,34113.59,11891.19,17,14,4,16,12,4
6102,2HA,2.0,48.0,87,2.0,2694,20,50,FTTH接入,0,0,82.5,132.5,82.5,宽带,90.0,1,10497.5,15837.62,18628.89,109,86,111,30,25,30
